number_of_episode,reward
1,-220.222184537441
2,-214.365599684983
3,-213.557287723797
4,-215.710604353865
5,-220.966332895549
6,-218.657244874948
7,-221.501575721198
8,-212.344187852848
9,-214.635277269123
10,-211.797415578554
11,-216.715539426046
12,-206.694773121753
13,-206.551679373425
14,-213.877777955224
15,-217.472383598488
16,-215.546041736362
17,-212.439095159919
18,-212.464737580425
19,-214.397884544949
20,-210.260004893658
21,-212.687372372012
22,-215.841311541831
23,-211.546412843181
24,-210.318751418235
25,-205.791587746641
26,-212.40003039306
27,-208.308843515509
28,-207.110027576596
29,-216.063596278391
30,-205.598931621223
31,-210.353480892667
32,-207.474672799193
33,-195.953401968919
34,-199.485263536168
35,-201.915615069835
36,-205.441878933008
37,-207.747154404254
38,-202.428804455626
39,-204.641002739815
40,-208.520494046693
41,-202.911768735729
42,-205.844887266222
43,-197.573133881895
44,-203.314311638462
45,-198.301709446615
46,-202.504515925502
47,-199.858772277702
48,-198.814844953381
49,-200.142526370503
50,-190.006183790762
51,-195.079548930301
52,-193.084060357291
53,-189.306287619775
54,-195.432872960019
55,-192.251369814397
56,-201.281342435287
57,-199.258865960045
58,-205.50821147297
59,-198.07627549687
60,-196.3488979816
61,-197.076117473505
62,-189.365661659802
63,-196.515669929974
64,-195.937487972469
65,-192.109238158851
66,-195.179755821779
67,-189.296816491718
68,-192.280650562969
69,-185.315329856626
70,-187.296069616894
71,-192.559970183038
72,-186.35674871082
73,-185.346516712738
74,-185.277894317555
75,-197.15318628026
76,-190.223159961083
77,-195.556594905966
78,-181.083685956708
79,-185.98595892461
80,-187.988968333955
81,-191.061868681618
82,-188.955530270173
83,-188.378828978126
84,-182.361289434941
85,-183.815233004004
86,-179.599206976318
87,-184.25885034863
88,-192.464512453504
89,-179.341977168691
90,-178.701188313697
91,-181.793871422194
92,-179.398188527767
93,-181.370475034586
94,-180.556253400368
95,-180.972715216006
96,-185.463570205177
97,-182.899369458797
98,-188.549684967647
99,-177.799779192974
100,-181.309606069388
101,-178.365874228562
102,-175.394405580592
103,-180.837649101547
104,-178.481234207372
105,-175.156811796825
106,-182.407791751997
107,-181.710154635858
108,-178.836107205729
109,-181.601166541893
110,-169.300852224165
111,-171.936130598216
112,-173.552135315991
113,-169.791149359892
114,-171.043909540904
115,-176.421902037751
116,-165.632684520962
117,-172.2649130537
118,-170.482198674314
119,-168.11867713759
120,-175.109571521812
121,-174.625336864404
122,-174.553770503026
123,-170.44856204915
124,-166.604757841414
125,-173.054441560068
126,-169.091502423103
127,-169.686671080511
128,-172.472915192708
129,-171.297697289967
130,-168.969288919148
131,-164.271730566461
132,-168.213557255897
133,-166.172781921215
134,-163.845236916743
