E,C
0,-217.5070105
100,-117.1283044
200,-218.698322
300,-104.877171
400,-167.9113895
500,-197.5391363
600,-101.9291675
700,-112.4844756
800,-75.74619238
900,-80.26061253
1000,-95.25409233
1100,-63.95582904
1200,-67.93821276
1300,-70.84191353
1400,-70.25181108
1500,-42.05498473
1600,-39.37196258
1700,-57.57586352
1800,-43.59418128
1900,-41.55729657
2000,-40.21814133
2100,-39.57095161
2200,-22.25685792
2300,-23.61441882
2400,-19.351513
2500,-16.5911701
2600,-36.88709226
2700,-25.94578542
2800,-16.31597598
2900,-15.05761774
3000,-10.89750472
3100,-13.21243008
3200,-21.37434748
3300,-8.865723103
3400,-2.536255484
3500,-13.95070693
3600,-9.622200103
3700,-15.9144718
3800,-16.93623035
3900,-9.614733901
4000,-7.219596508
4100,-12.11617953
4200,-11.35066049
4300,-8.010884958
4400,-8.467492766
4500,-8.737303175
4600,-14.17623354
4700,-6.22338956
4800,-4.689463661
4900,-12.50650308
5000,-7.079097626
5100,-13.13438655
5200,-6.378349151
5300,-7.866472727
5400,-9.126153641
5500,-16.94854166
5600,-1.705107397
5700,-1.699353263
5800,-2.202273635
5900,-5.908867605
6000,-9.397357262
6100,-4.016468413
6200,-15.59305942
6300,-14.0882477
6400,-2.112493684
6500,-0.234767447
6600,-19.09301554
6700,-9.192317352
6800,-12.13909523
6900,-6.859865262
7000,-0.551856195
7100,-8.831431288
7200,-4.577319016
7300,-5.774933971
7400,-8.872440821
7500,-14.52024124
7600,-7.859350458
7700,-11.98714075
7800,-6.726665228
7900,-7.325203964
8000,-9.314708582
8100,-4.7939772
8200,-6.607101277
8300,-6.546442779
8400,4.397422697
8500,-4.170582712
8600,-0.787057495
8700,0.496167934
8800,-10.12267262
8900,-17.64060205
9000,0.080706854
9100,-11.65052907
9200,-5.607811291
9300,-8.425219606
9400,-4.443731817
9500,2.011737085
9600,-0.176259221
9700,-3.910839896
9800,-7.356315152
9900,-1.807475037
10000,-4.286877862
10100,-3.717595715
10200,-9.501967372
10300,1.471243949
10400,3.45092971
10500,-5.964124266
10600,-0.53548063
10700,-3.363527429
10800,-3.820409842
10900,-3.675584815
11000,-7.786709893
11100,-4.004809082
11200,0.69137495
11300,-2.183940035
11400,-3.335383592
11500,-8.59595825
11600,-11.06351718
11700,-8.239585357
11800,0.500430132
11900,-1.301242238
12000,0.687969796
12100,-3.630808749
12200,-12.60340842
12300,-0.223506467
12400,0.358692258
12500,1.585620853
12600,-3.530741873
12700,-7.399920118
12800,-2.339153154
12900,-0.425615821
13000,-2.975514333
13100,-0.884230122
13200,0.853271197
13300,0.565629671
13400,-0.402270475
13500,2.717101456
13600,-9.395001453
13700,-7.0009071
13800,-0.771368976
13900,-2.417560373
14000,-1.442136148
14100,-4.288049705
14200,-10.57157393
14300,2.53892469
14400,-2.233168733
14500,-4.749188825
14600,0.602173474
14700,-6.34440606
14800,-7.113930539
14900,-0.526706902
15000,-5.973614328
15100,-4.139913853
15200,-6.476436135
15300,-8.67937942
15400,-2.327609298
15500,-5.513079125
15600,-2.063820169
15700,-6.805858521
15800,-2.978095919
15900,-0.58414758
16000,-0.694805638
16100,-13.18054978
16200,-3.214802511
16300,-5.614816638
16400,-7.860243805
16500,-2.282550968
16600,-7.356464658
16700,0.255895022
16800,-0.937607431
16900,-1.23845812
17000,-4.687427171
17100,0.908486866
17200,-8.674637527
17300,-9.468714056
17400,-3.180762449
17500,0.278861432
17600,-1.802683453
17700,-3.803432503
17800,-3.389734656
17900,-4.06311087
18000,-2.192962972
18100,-3.824114232
18200,-9.037593192
18300,-7.732314123
18400,2.555478453
18500,0.406584863
18600,-7.314296193
18700,-4.574104978
18800,-7.556028663
18900,-3.759958509
19000,7.61682448
19100,2.438534071
19200,7.73789343
19300,-3.744034333
19400,-6.903838437
19500,-8.446761721
19600,3.511903466
19700,-5.903289059
19800,-8.57146755
19900,-5.667195436
20000,1.289185129
20100,-1.921594076
20200,-5.173892887
20300,-0.080926598
20400,3.958446242
20500,-5.972813412
20600,0.796925822
20700,-9.416326006
20800,-2.111983868
20900,0.823798216
21000,-4.975815935
21100,-11.29679723
21200,-0.535263827
21300,4.959415209
21400,-9.61918425
21500,0.58625227
21600,-13.62280863
21700,-3.731993171
21800,-4.255711941
21900,0.708814334
22000,3.404503922
22100,-10.46845629
22200,1.220635935
22300,-3.444410366
22400,-2.74085058
22500,0.65862473
22600,-4.865574039
22700,-4.376355394
22800,-1.304097011
22900,3.883056093
23000,-1.210191744
23100,-2.410788577
23200,0.55911959
23300,-0.084872048
23400,-0.586104636
23500,-3.586732705
23600,-6.310019055
23700,-4.08561252
23800,-2.030463916
23900,-10.17351581
24000,-2.943515902
24100,0.725232683
24200,-2.769877117
24300,11.85127618
24400,2.921529257
24500,10.82412216
24600,-0.937337349
24700,7.17140295
24800,-5.38693868
24900,-0.401442896
25000,-4.517493977
25100,1.537422785
25200,-5.946927627
25300,-2.429607363
25400,-4.507842459
25500,-2.805860422
25600,-3.797986301
25700,1.80875965
25800,1.83697676
25900,-9.985370811
26000,2.779583117
26100,-1.399820952
26200,-3.645043127
26300,4.501303211
26400,0.294896506
26500,-4.810683472
26600,-4.129237814
26700,-6.194206521
26800,-2.238303365
26900,-4.818883569
27000,3.748538884
27100,-3.826981459
27200,1.39186615
27300,-4.414819844
27400,-4.002686208
27500,-6.619992098
27600,-9.175480325
27700,0.961442409
27800,-1.281147624
27900,0.383151791
28000,-3.034036858
28100,-8.710997547
28200,1.476248109
28300,-1.567865809
28400,-1.18307359
28500,-1.651537875
28600,2.037150865
28700,2.580691902
28800,-2.771148827
28900,-14.73866508
29000,-2.947703287
29100,-0.988582127
29200,-0.171424085
29300,-7.112077319
29400,0.701508654
29500,-0.234104805
29600,1.229493233
29700,-7.339995198
29800,1.779900388
29900,-0.841436019
30000,-6.460222217
30100,4.294905182
30200,-2.474687603
30300,-0.893833516
30400,-9.552585022
30500,-3.485134892
30600,-12.48042079
30700,-5.412455553
30800,-11.8692915
30900,-0.875377376
31000,-5.483675369
31100,-1.366765595
31200,-3.21621034
31300,-1.383558816
31400,0.246757306
31500,1.459683168
31600,1.895304379
31700,-3.547291389
31800,-3.30939363
31900,-1.526884097
32000,-13.37404786
32100,1.784620813
32200,-3.724819483
32300,-2.748347025
32400,-3.557299181
32500,-1.214659273
32600,-2.524570568
32700,2.390903794
32800,7.01224291
32900,-5.964737323
33000,3.009836111
33100,2.887631661
33200,0.995942251
33300,-8.175913982
33400,-2.923161824
33500,-5.600637469
33600,-0.603738102
33700,-3.274827894
33800,-6.727347097
33900,-4.156833939
34000,-1.245407105
34100,-2.792172495
34200,0.794263138
34300,0.093657377
34400,-0.731549976
34500,-4.659811894
34600,-4.175439803
34700,-3.044216601
34800,-7.815324464
34900,-11.048102
35000,-1.341960738
35100,-8.633791417
35200,2.174017139
35300,5.18940633
35400,-3.608547387
35500,1.868876661
35600,-3.408467468
35700,-2.182143242
35800,0.546671543
35900,-2.430855058
36000,-1.013129766
36100,-3.972023638
36200,2.17493288
36300,0.23086917
36400,0.717157776
36500,-5.340555491
36600,-1.960676847
36700,4.663726421
36800,-0.743750438
36900,-6.602290626
37000,1.970432176
37100,-2.896800534
37200,1.700192285
37300,-3.748827069
37400,-4.631009917
37500,2.432959296
37600,-4.322647798
37700,-3.103141025
37800,-5.652730748
37900,-5.103104658
38000,5.44376918
38100,3.480624895
38200,-2.695734305
38300,-4.641041905
